r,E_rbm_r_low_96,E_rbm_r_low_68,E_rbm_r_high_68,E_rbm_r_high_96,E_rbm_r_median
1.35,-0.9773185114910277,-0.9740187369395298,-0.9667378516462405,-0.9624097501550003,-0.9704107677893468
1.4,-0.9821246009476851,-0.9782809855215471,-0.9717598792339015,-0.96798792084379,-0.9751458096992872
1.45,-0.9546943903557282,-0.9501491359865795,-0.9415422885527054,-0.9365188951346248,-0.9458774150373692
1.5,-0.9257311577865663,-0.9194124541562443,-0.9090989744845059,-0.9034349987829831,-0.9141862907973457
1.55,-0.9033937636642129,-0.8968258060016022,-0.8847576583285446,-0.8789179512709714,-0.8905732895606353
1.6,-0.9050787017077417,-0.8985360009366321,-0.885987533155283,-0.8794448323841734,-0.8919933001655225
1.65,-0.8852032027347027,-0.8787931334164247,-0.8655307183963528,-0.8581653435516203,-0.8722716670380184
1.7,-0.8861036427328025,-0.8789591091762218,-0.8656140877950818,-0.8586276144969125,-0.8717826801127075
1.75,-0.8571788785737946,-0.8492231322903225,-0.8334575452201975,-0.8254838740495312,-0.8413403387552602
1.8,-0.8432779518099522,-0.8354250105565841,-0.8185941877312377,-0.8096767332272178,-0.8259544809949557
1.85,-0.8235879680810895,-0.8138537520268714,-0.796675723695898,-0.7865044253560167,-0.8052647378613846
1.9,-0.8288707603831491,-0.8199691329527726,-0.8018574736692288,-0.7933561230074184,-0.811067505522396
1.95,-0.821975194125566,-0.8134185439355481,-0.7957402521461485,-0.7860457050358325,-0.804864531779387
2.0,-0.8091302302075924,-0.7992121334745672,-0.7804704067495689,-0.7701805942057152,-0.7895389841971487
2.05,-0.8078561038963634,-0.798576874853657,-0.7793665161562208,-0.7690497920628712,-0.7890650992166948
2.1,-0.8047429596397309,-0.7947460817338451,-0.7768246420190172,-0.7683937203087479,-0.7857730258764312
2.15,-0.7878044029445029,-0.7782189696789,-0.7568162235375693,-0.7464917862103813,-0.767033894203177
2.2,-0.787010100926079,-0.7761618198912569,-0.755994071825264,-0.7454344201648871,-0.7654181329448011
2.25,-0.7836855402163655,-0.7730338796984333,-0.7529148564731898,-0.7402875976081453,-0.7637136767452424
2.3,-0.7764128111557411,-0.7668856309657236,-0.7457897319735424,-0.7349015260420938,-0.7566288151247501
2.35,-0.7703467245495247,-0.7577095504676131,-0.7372578694678622,-0.726702088391194,-0.7478136505445303
2.4,-0.7760059280859826,-0.7650724633701269,-0.7452802987783782,-0.73299550696281,-0.7553930134520395
2.45,-0.769446966815588,-0.7589315019212722,-0.7371995411396864,-0.725282014259462,-0.7483510478841785
2.5,-0.7702854136793457,-0.7591366889145463,-0.7389296252783475,-0.728477695811348,-0.749381554745347
2.55,-0.7630871105475466,-0.749316789802706,-0.7280510444511242,-0.7160118071007683,-0.7391804907195076
2.6,-0.7595317839189785,-0.7478194637022623,-0.7258588632959193,-0.7141319026789321,-0.7375711835126356
2.65,-0.7547322908871787,-0.74372671735295,-0.7214667883206238,-0.7103684353985968,-0.7332892681310387
2.7,-0.7580150927353826,-0.7475930806594696,-0.7250601249536618,-0.7140751356930882,-0.7360451142142352
2.75,-0.7570621633948384,-0.744501500682607,-0.7216178433964618,-0.7105451059999399,-0.7326905807929838
2.8,-0.7526308073431204,-0.7398250552163018,-0.7157484354714017,-0.7044477959493889,-0.7277867453438518
2.85,-0.7503855745320713,-0.7384838488956249,-0.7165358719323185,-0.7037482065057452,-0.7278191061322362
